link,index,title,artist,rating,has_audio,has_video,date,uploader,total_downloads
patches.php?mode=show&unit=G3&ID=7025,7025,Djenty,periphery,2.0,False,False,2013-06-08,djentleman,1223
patches.php?mode=show&unit=G3&ID=7021,7021,Dom's Patch setup,Dogbleep,4.0,False,False,2013-06-07,Dom,774
patches.php?mode=show&unit=G3&ID=7008,7008,Sultans Of Swing live,Dire Straits Mark Knopfler,4.3,False,True,2013-06-02,localhero,3410
patches.php?mode=show&unit=G3&ID=7009,7009,SpaceEcho,N/A,1.0,False,False,2013-06-02,Firu_uK,976
patches.php?mode=show&unit=G3&ID=7007,7007,Ac Dc Sound,Ac Dc,4.0,False,False,2013-06-01,IAmTheOne,2326
patches.php?mode=show&unit=G3&ID=7005,7005,Tunnel of love solo,Dire Straits Mark Knopfler,4.3,False,True,2013-05-31,localhero,2110
patches.php?mode=show&unit=G3&ID=7001,7001,All the small things,Blink-182,4.0,False,False,2013-05-29,ColombiaMetal,1617
patches.php?mode=show&unit=G3&ID=7002,7002,Blink-182,Blink-182,4.3,False,False,2013-05-29,ColombiaMetal,1848
patches.php?mode=show&unit=G3&ID=7000,7000,IOMMI,BLACK SABBATH,4.5,False,False,2013-05-28,ColombiaMetal,1875
patches.php?mode=show&unit=G3&ID=6993,6993,Rumble,Link Wray,3.0,False,False,2013-05-22,Tiago,883
patches.php?mode=show&unit=G3&ID=6988,6988,KNOCKIN' ON HEAVEN'S DOOR,Guns'n'Roses,4.5,False,False,2013-05-21,Tiago,3830
patches.php?mode=show&unit=G3&ID=6987,6987,Better Man,Pearl Jam,3.5,False,False,2013-05-20,Tiago,1195
patches.php?mode=show&unit=G3&ID=6984,6984,Images & Words Rhythm,Dream Theater,4.3,False,True,2013-05-17,ozangenc,3054
patches.php?mode=show&unit=G3&ID=6985,6985,Images & Words Lead,Dream Theater,4.0,False,True,2013-05-17,ozangenc,2953
patches.php?mode=show&unit=G3&ID=6986,6986,Images & Words/Awake Clean,Dream Theater,4.6,False,True,2013-05-17,ozangenc,2645
patches.php?mode=show&unit=G3&ID=6974,6974,Ain't Talkin' 'Bout Love,Van Halen,4.8,False,True,2013-05-12,ozangenc,4352
patches.php?mode=show&unit=G3&ID=6971,6971,Since I've Been Loving You,Led Zeppelin,2.0,False,False,2013-05-11,Bergison,1489
patches.php?mode=show&unit=G3&ID=6972,6972,Since I've Been Loving You-Song Tone,Led Zeppelin,1.0,False,False,2013-05-11,Bergison,1063
patches.php?mode=show&unit=G3&ID=6957,6957,Distosión de Fade To Black,Metallica,3.0,False,False,2013-05-07,Cheko Montesino...,2077
patches.php?mode=show&unit=G3&ID=6958,6958,Limpios de Fade to black,Metallica,3.0,False,False,2013-05-07,Cheko Montesino...,1171
patches.php?mode=show&unit=G3&ID=6959,6959,Estrofas de Like a stone,Audioslave,1.0,False,False,2013-05-07,Cheko Montesino...,1098
patches.php?mode=show&unit=G3&ID=6960,6960,Coros de Like A Stone,Audioslave,2.5,False,False,2013-05-07,Cheko Montesino...,1215
patches.php?mode=show&unit=G3&ID=6961,6961,Killing the Name (Whammy),Rage  Against the Machine,3.3,False,False,2013-05-07,Cheko Montesino...,2416
patches.php?mode=show&unit=G3&ID=6955,6955,Like a Stone Wahmmy,Audioslave,4.0,False,False,2013-05-06,Cheko Montesino...,1984
patches.php?mode=show&unit=G3&ID=6956,6956,Be your self,Audioslave,1.0,False,False,2013-05-06,Cheko Montesino...,1033
